,PRODUCTS,RATINGS,PRICES
229,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,49900
230,"Apple iPhone XR (Black, 64 GB)",4.6,49900
231,"Apple iPhone X (Silver, 64 GB)",4.6,69999
232,"Apple iPhone 8 (Gold, 64 GB)",4.5,36999
233,"Apple iPhone XS Max (Space Grey, 512 GB)",4.6,109900
234,"Apple iPhone 11 (Yellow, 64 GB)",4.7,64900
235,"Apple iPhone XR ((PRODUCT)RED, 128 GB)",4.6,54900
236,NitaiTech Edge To Edge Tempered Glass for Apple iPhone ...,0,149
237,"Apple iPhone 11 Pro (Silver, 64 GB)",4.7,99900
238,"Apple iPhone 7 Plus (Rose Gold, 128 GB)",4.5,59900
239,"Apple iPhone 11 Pro (Gold, 64 GB)",4.7,99900
240,"Apple iPhone 7 (Black, 32 GB)",4.5,24999
241,"Apple iPhone XS (Gold, 64 GB)",4.7,52999
242,"Apple iPhone XS (Space Grey, 64 GB)",4.7,52999
243,"Apple iPhone 7 Plus (Black, 32 GB)",4.5,32999
244,"Apple iPhone XS (Silver, 64 GB)",4.7,52999
245,"Apple iPhone 7 Plus (Rose Gold, 32 GB)",4.5,32999
246,"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,32999
247,"Apple iPhone 8 (Silver, 64 GB)",4.5,36999
248,"Apple iPhone 11 (White, 128 GB)",4.7,69900
249,"Apple iPhone 11 (Black, 128 GB)",4.7,69900
250,"Apple iPhone 8 (Space Grey, 64 GB)",4.5,36999
251,"Apple iPhone 11 (White, 64 GB)",4.7,64900
252,Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,149
253,TECHSHIELD Edge To Edge Tempered Glass for Apple iPhone...,4.1,348
254,"Apple iPhone 11 (Black, 64 GB)",4.7,64900
255,"Apple iPhone 11 (Purple, 128 GB)",4.7,69900
256,"Apple iPhone XR (Blue, 64 GB)",4.6,49900
257,"Apple iPhone 11 (Green, 64 GB)",4.7,64900
258,"Apple iPhone 11 (Green, 128 GB)",4.7,69900
259,Techshield Edge To Edge Tempered Glass for iPhone 11,4.6,488
260,"Apple iPhone XR (Black, 128 GB)",4.6,54900
261,"Apple iPhone 11 (Purple, 64 GB)",4.7,64900
262,"Apple iPhone XR (White, 64 GB)",4.6,49900
263,Techshield Edge To Edge Tempered Glass for iPhone 11 pr...,4.3,288
264,"Apple iPhone XR (Coral, 64 GB)",4.6,49900
265,"Apple iPhone 11 (Red, 64 GB)",4.7,64900
266,"iKare Impossible Screen Guard for Apple iPhone 6, Apple...",3.8,199
267,"Apple iPhone XR (Blue, 128 GB)",4.6,54900
268,"Apple iPhone XR (Coral, 128 GB)",4.6,54900
269,Jabox Edge To Edge Tempered Glass for Apple iPhone 7,0,249
270,"Apple iPhone 11 (Red, 128 GB)",4.7,69900
271,"Apple iPhone XR (White, 128 GB)",4.6,59999
272,"Apple iPhone 11 Pro Max (Gold, 64 GB)",4.7,109900
273,RhinoShield Screen Guard for Apple iPhone 11 Pro,0,1299
274,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,49900
275,"Apple iPhone XR (Black, 64 GB)",4.6,49900
276,"Apple iPhone X (Silver, 64 GB)",4.6,69999
277,"Apple iPhone 8 (Gold, 64 GB)",4.5,36999
278,"Apple iPhone XS Max (Space Grey, 512 GB)",4.6,109900
279,"Sprig Tempered Glass Guard for Apple iPhone XS, Apple i...",0,399
280,"Apple iPhone 7 (Black, 32 GB)",4.5,24999
281,"Apple iPhone XS (Gold, 64 GB)",4.7,52999
282,"Apple iPhone XS (Space Grey, 64 GB)",4.7,52999
283,"Apple iPhone 7 Plus (Black, 32 GB)",4.5,32999
284,"Apple iPhone XS (Silver, 64 GB)",4.7,52999
285,"Apple iPhone 7 Plus (Rose Gold, 32 GB)",4.5,32999
286,"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,32999
287,"Apple iPhone 8 (Silver, 64 GB)",4.5,36999
288,"Apple iPhone 11 (White, 128 GB)",4.7,69900
289,"Apple iPhone 11 (Black, 128 GB)",4.7,69900
290,"Apple iPhone 8 (Space Grey, 64 GB)",4.5,36999
291,"Apple iPhone 11 (White, 64 GB)",4.7,64900
292,Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,149
293,"Apple iPhone 11 (Black, 64 GB)",4.7,64900
294,"Apple iPhone 11 (Purple, 128 GB)",4.7,69900
295,"Apple iPhone XR (Blue, 64 GB)",4.6,49900
296,"Apple iPhone 11 (Green, 64 GB)",4.7,64900
297,"Apple iPhone 11 (Green, 128 GB)",4.7,69900
298,"Apple iPhone XR (Black, 128 GB)",4.6,54900
299,"Apple iPhone 11 (Purple, 64 GB)",4.7,64900
300,"Apple iPhone XR (White, 64 GB)",4.6,49900
301,"Apple iPhone XR (Coral, 64 GB)",4.6,49900
302,"Apple iPhone 11 (Red, 64 GB)",4.7,64900
303,"iKare Impossible Screen Guard for Apple iPhone 6, Apple...",3.8,199
304,"Apple iPhone XR (Blue, 128 GB)",4.6,54900
305,"Apple iPhone XR (Coral, 128 GB)",4.6,54900
306,"Apple iPhone 11 (Red, 128 GB)",4.7,69900
307,"Apple iPhone XR (White, 128 GB)",4.6,59999
308,"Apple iPhone 11 Pro Max (Gold, 64 GB)",4.7,109900
309,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,49900
310,"Apple iPhone XR (Black, 64 GB)",4.6,49900
311,"Apple iPhone X (Silver, 64 GB)",4.6,69999
312,"Apple iPhone 8 (Gold, 64 GB)",4.5,36999
313,"Apple iPhone XS Max (Space Grey, 512 GB)",4.6,109900
314,"Apple iPhone 11 (Yellow, 64 GB)",4.7,64900
315,"Apple iPhone XR ((PRODUCT)RED, 128 GB)",4.6,54900
316,NitaiTech Edge To Edge Tempered Glass for Apple iPhone ...,0,149
317,"Apple iPhone 11 Pro (Silver, 64 GB)",4.7,99900
318,"Apple iPhone 7 Plus (Rose Gold, 128 GB)",4.5,59900
319,"Apple iPhone 11 Pro (Gold, 64 GB)",4.7,99900
320,"Apple iPhone 7 (Black, 32 GB)",4.5,24999
321,"Apple iPhone XS (Gold, 64 GB)",4.7,52999
322,"Apple iPhone XS (Space Grey, 64 GB)",4.7,52999
323,"Apple iPhone 7 Plus (Black, 32 GB)",4.5,32999
